"spec","sens"
1,1
0.967741935483871,1
0.935483870967742,1
0.903225806451613,1
0.870967741935484,1
0.838709677419355,1
0.806451612903226,1
0.774193548387097,1
0.774193548387097,0.981818181818182
0.741935483870968,0.981818181818182
0.709677419354839,0.981818181818182
0.709677419354839,0.963636363636364
0.67741935483871,0.963636363636364
0.645161290322581,0.963636363636364
0.612903225806452,0.963636363636364
0.580645161290323,0.963636363636364
0.548387096774194,0.963636363636364
0.516129032258065,0.963636363636364
0.483870967741935,0.963636363636364
0.451612903225806,0.963636363636364
0.451612903225806,0.945454545454545
0.451612903225806,0.927272727272727
0.451612903225806,0.909090909090909
0.451612903225806,0.890909090909091
0.451612903225806,0.872727272727273
0.451612903225806,0.854545454545454
0.451612903225806,0.836363636363636
0.419354838709677,0.836363636363636
0.387096774193548,0.836363636363636
0.354838709677419,0.836363636363636
0.32258064516129,0.836363636363636
0.290322580645161,0.836363636363636
0.290322580645161,0.818181818181818
0.290322580645161,0.8
0.258064516129032,0.8
0.258064516129032,0.781818181818182
0.258064516129032,0.763636363636364
0.258064516129032,0.745454545454545
0.258064516129032,0.727272727272727
0.258064516129032,0.709090909090909
0.225806451612903,0.709090909090909
0.225806451612903,0.690909090909091
0.193548387096774,0.690909090909091
0.161290322580645,0.690909090909091
0.161290322580645,0.672727272727273
0.161290322580645,0.654545454545455
0.129032258064516,0.654545454545455
0.0967741935483871,0.654545454545455
0.0967741935483871,0.636363636363636
0.0967741935483871,0.618181818181818
0.0967741935483871,0.6
0.0645161290322581,0.6
0.0645161290322581,0.581818181818182
0.0645161290322581,0.563636363636364
0.0645161290322581,0.545454545454545
0.0645161290322581,0.527272727272727
0.0645161290322581,0.509090909090909
0.0645161290322581,0.490909090909091
0.0645161290322581,0.472727272727273
0.0645161290322581,0.454545454545455
0.0645161290322581,0.436363636363636
0.0645161290322581,0.418181818181818
0.032258064516129,0.418181818181818
0.032258064516129,0.4
0.032258064516129,0.381818181818182
0.032258064516129,0.363636363636364
0.032258064516129,0.345454545454545
0.032258064516129,0.327272727272727
0,0.327272727272727
0,0.309090909090909
0,0.290909090909091
0,0.272727272727273
0,0.254545454545455
0,0.236363636363636
0,0.218181818181818
0,0.2
0,0.181818181818182
0,0.163636363636364
0,0.145454545454545
0,0.127272727272727
0,0.109090909090909
0,0.0909090909090909
0,0.0727272727272727
0,0.0545454545454545
0,0.0363636363636364
0,0.0181818181818182
0,0
