"gene","fpr","tpr"
"NDNF",1,1
"NDNF",0.966666666666667,1
"NDNF",0.933333333333333,1
"NDNF",0.9,1
"NDNF",0.866666666666667,1
"NDNF",0.833333333333333,1
"NDNF",0.8,1
"NDNF",0.766666666666667,1
"NDNF",0.733333333333333,1
"NDNF",0.7,1
"NDNF",0.7,0.981818181818182
"NDNF",0.7,0.963636363636364
"NDNF",0.666666666666667,0.963636363636364
"NDNF",0.633333333333333,0.963636363636364
"NDNF",0.6,0.963636363636364
"NDNF",0.566666666666667,0.963636363636364
"NDNF",0.533333333333333,0.963636363636364
"NDNF",0.533333333333333,0.945454545454545
"NDNF",0.5,0.945454545454545
"NDNF",0.5,0.927272727272727
"NDNF",0.466666666666667,0.927272727272727
"NDNF",0.433333333333333,0.927272727272727
"NDNF",0.433333333333333,0.909090909090909
"NDNF",0.433333333333333,0.890909090909091
"NDNF",0.4,0.890909090909091
"NDNF",0.4,0.872727272727273
"NDNF",0.366666666666667,0.872727272727273
"NDNF",0.366666666666667,0.854545454545454
"NDNF",0.366666666666667,0.836363636363636
"NDNF",0.366666666666667,0.818181818181818
"NDNF",0.333333333333333,0.818181818181818
"NDNF",0.3,0.818181818181818
"NDNF",0.3,0.8
"NDNF",0.3,0.781818181818182
"NDNF",0.3,0.763636363636364
"NDNF",0.3,0.745454545454545
"NDNF",0.266666666666667,0.745454545454545
"NDNF",0.266666666666667,0.727272727272727
"NDNF",0.266666666666667,0.709090909090909
"NDNF",0.266666666666667,0.690909090909091
"NDNF",0.266666666666667,0.672727272727273
"NDNF",0.266666666666667,0.654545454545455
"NDNF",0.233333333333333,0.654545454545455
"NDNF",0.233333333333333,0.636363636363636
"NDNF",0.233333333333333,0.618181818181818
"NDNF",0.233333333333333,0.6
"NDNF",0.2,0.6
"NDNF",0.2,0.581818181818182
"NDNF",0.166666666666667,0.581818181818182
"NDNF",0.166666666666667,0.563636363636364
"NDNF",0.166666666666667,0.545454545454545
"NDNF",0.166666666666667,0.527272727272727
"NDNF",0.166666666666667,0.509090909090909
"NDNF",0.166666666666667,0.490909090909091
"NDNF",0.166666666666667,0.472727272727273
"NDNF",0.166666666666667,0.454545454545455
"NDNF",0.166666666666667,0.436363636363636
"NDNF",0.166666666666667,0.418181818181818
"NDNF",0.166666666666667,0.4
"NDNF",0.166666666666667,0.381818181818182
"NDNF",0.166666666666667,0.363636363636364
"NDNF",0.166666666666667,0.345454545454545
"NDNF",0.166666666666667,0.327272727272727
"NDNF",0.166666666666667,0.309090909090909
"NDNF",0.133333333333333,0.309090909090909
"NDNF",0.133333333333333,0.290909090909091
"NDNF",0.133333333333333,0.272727272727273
"NDNF",0.133333333333333,0.254545454545455
"NDNF",0.1,0.254545454545455
"NDNF",0.1,0.236363636363636
"NDNF",0.0666666666666667,0.236363636363636
