"pred","obs"
0.194920271830614,1
0.383753426198198,1
0.851599883679109,1
0.431043716805006,1
0.932955823330321,1
0.452904422030827,1
0.759468832023338,1
0.823232358880539,1
0.806400258003259,1
0.59614442413738,1
0.517811139626541,1
0.487985426926133,1
0.568528913573596,1
0.341348688189587,1
0.998337008003981,1
0.861426776376654,1
0.724948578208551,1
0.86529431862816,1
0.879074098328502,1
0.839650728455073,1
0.646477194123617,1
0.425362128101699,1
0.564983495129596,1
0.810998796258551,1
0.92325318105028,1
0.931212861995137,1
0.744764679162272,1
0.827741655587946,1
0.813732404265406,1
0.489638763882304,1
0.662928029756757,1
0.572171887182728,1
0.272363138363194,1
0.932567393180551,1
0.926481807993452,1
0.952411530805641,1
0.96462779966166,1
0.954256812904884,1
0.926877926304414,1
0.98164112986414,1
0.951956032688197,1
0.946915199654022,1
0.973373060698646,1
0.915236392108723,1
0.789724918677492,1
0.977924449672093,1
0.970402308947567,1
0.952609454085067,1
0.858196549321334,1
0.955397866455902,1
0.94528413250142,1
0.911817541781719,1
0.973989089738051,1
0.980211174405964,1
0.351369213788185,1
0.219991610181821,0
0.436572219649683,0
0.394458582655178,0
0.483035904512355,0
0.157324761369662,0
0.176350826414258,0
0.91890434846385,0
0.29959925427617,0
0.291813752930925,0
0.778038482297214,0
0.445093433041963,0
0.219028813285601,0
0.093006801087122,0
0.250743473389058,0
0.339810377604739,0
0.14140487722526,0
0.500186821912223,0
0.141976137920252,0
0.804867885991174,0
0.300053302498897,0
0.503534405477229,0
0.262679799176625,0
0.683656193095069,0
0.531031481617766,0
0.678683177432549,0
0.309577757819093,0
0.210328047931309,0
0.662313517252785,0
0.749457400256266,0
0.920747459899921,0
