"sample","score","y"
"GSM3191894",0.273957811675183,1
"GSM3191895",0.454614561400294,1
"GSM3191896",0.894562831839672,1
"GSM3191897",0.465444417746216,1
"GSM3191898",0.785609618151502,1
"GSM3191899",0.493305643907554,1
"GSM3191900",0.722170005897083,1
"GSM3191901",0.80605989125267,1
"GSM3191902",0.777852576725408,1
"GSM3191903",0.603677973167277,1
"GSM3191904",0.505405009181126,1
"GSM3191905",0.472944128036583,1
"GSM3191906",0.631082911916136,1
"GSM3191907",0.425722544454024,1
"GSM3191908",0.979585450464821,1
"GSM3191909",0.800956851430613,1
"GSM3191910",0.641066099687448,1
"GSM3191911",0.829434326348893,1
"GSM3191912",0.831157233301982,1
"GSM3191913",0.800449667549002,1
"GSM3191914",0.610622906754234,1
"GSM3191915",0.535989315528221,1
"GSM3191916",0.530547285993911,1
"GSM3191917",0.770697848841635,1
"GSM3191918",0.869143398889019,1
"GSM3191919",0.873813155699046,1
"GSM3191920",0.70409551116056,1
"GSM3191921",0.749261381444084,1
"GSM3191922",0.753822694412793,1
"GSM3191923",0.580161332591142,1
"GSM3191924",0.850296881906346,1
"GSM3191925",0.544885280857576,1
"GSM3191926",0.319690302814921,1
"GSM3191927",0.922030964450162,1
"GSM3191928",0.872293523276577,1
"GSM3191929",0.915210759202129,1
"GSM3191930",0.92569049962875,1
"GSM3191931",0.85799559114842,1
"GSM3191932",0.86029015212224,1
"GSM3191933",0.940867712114003,1
"GSM3191934",0.943706433753438,1
"GSM3191935",0.890278139575588,1
"GSM3191936",0.949582065345376,1
"GSM3191937",0.884393534156065,1
"GSM3191938",0.750466893113249,1
"GSM3191939",0.928095554668853,1
"GSM3191940",0.916276476825071,1
"GSM3191941",0.895460472694563,1
"GSM3191942",0.802593481437077,1
"GSM3191943",0.899418248083484,1
"GSM3191944",0.93164538139131,1
"GSM3191945",0.874720004975459,1
"GSM3191946",0.932173806496296,1
"GSM3191947",0.932750291901325,1
"GSM3191948",0.443750944898042,1
"GSM3191949",0.356798613092341,0
"GSM3191950",0.48429529214784,0
"GSM3191951",0.483874867500556,0
"GSM3191952",0.56117884307671,0
"GSM3191953",0.230387200487528,0
"GSM3191954",0.234713640514437,0
"GSM3191955",0.852077442837314,0
"GSM3191956",0.321710705707171,0
"GSM3191957",0.381405807335353,0
"GSM3191958",0.722883248507815,0
"GSM3191959",0.480738047302121,0
"GSM3191960",0.263858703464221,0
"GSM3191961",0.242756958073243,0
"GSM3191962",0.404616287223692,0
"GSM3191963",0.397403285132629,0
"GSM3191964",0.205210789011348,0
"GSM3191965",0.42005711214159,0
"GSM3191966",0.200761693217744,0
"GSM3191967",0.757014599207773,0
"GSM3191968",0.31876849528935,0
"GSM3191969",0.514009344074501,0
"GSM3191970",0.293651841476891,0
"GSM3191971",0.714001738484513,0
"GSM3191972",0.484066091099229,0
"GSM3191973",0.680403803304364,0
"GSM3191974",0.359587261676008,0
"GSM3191975",0.237743809310743,0
"GSM3191976",0.621626157738699,0
"GSM3191977",0.742960911205356,0
"GSM3191978",0.873657917543458,0
